# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0183, s = 0.0 s
1.0,1.5707963267948966,0.0,0.0183,0.0
140.535705,3.131100,5.685881,0.406659,35989241.207076
140.023918,0.468936,4.508713,0.088988,41736494.289663
145.161492,0.009827,2.816942,0.431719,47071225.725209
140.339300,3.130739,0.915581,0.474363,44068008.294794
140.401604,1.914244,0.118809,0.084978,28232487.843839
145.356239,0.004116,6.239381,0.652219,24333167.180140
140.148175,2.029113,3.273143,0.047218,21319851.758384
140.000216,0.606282,2.255838,0.157034,26541261.290871
155.716283,0.009457,5.856803,1.104022,34313722.640668
140.420752,3.135877,6.208399,0.404412,21256271.812784
140.392602,1.671042,5.544301,0.334131,49863133.336422
140.946690,3.137744,4.017856,0.335523,21035238.001905
143.236549,0.017430,1.826104,0.106023,14286787.776001
151.247828,0.005289,4.490225,0.381601,34913244.127711
140.009004,3.126356,5.113906,0.598663,47436623.412570
150.545640,0.000121,1.218090,0.835150,34658924.345309
140.156827,3.073880,4.511532,0.642556,28443797.663040
146.335060,0.004447,2.439464,0.788892,22762742.523821
147.825886,3.131894,3.855584,0.622737,34166366.766747
144.750848,3.132072,2.079139,0.222158,48631178.390496
140.089002,1.628288,2.871291,0.187006,39024996.609650
142.216145,0.009303,1.418245,0.375251,25684428.023986
140.327237,2.054685,5.402567,0.252665,38010709.477485
140.264801,1.449604,1.281847,0.394444,44369452.036876
140.054461,2.157143,0.032297,0.074711,29869110.443526
155.910881,3.140154,4.040519,0.615930,54643971.245885
141.678559,3.138626,1.833482,0.928675,78606504.743279
140.052034,1.599012,1.520934,0.248694,45008243.490319
140.023407,1.236811,0.340829,0.048513,20365404.575026
150.899791,3.134541,1.789500,0.848588,48153580.799134
145.948487,0.011584,0.695284,0.589040,22361814.866862
142.640027,3.099533,2.507868,0.304159,45032927.469199
146.040271,0.008641,2.536789,0.466503,45155225.364559
142.674675,0.006179,5.085363,0.552552,18645754.046390
145.923729,3.135465,2.456478,0.490027,26302275.495349
162.296175,0.002868,0.768267,0.914473,53877271.901881
140.585423,0.027072,1.967649,0.188680,15191493.001919
140.176672,0.302369,0.755155,0.066280,20977268.051505
140.145108,0.716607,2.883785,0.221705,32514410.180179
140.074634,0.300314,0.153407,0.071914,20688166.298866
144.565737,0.004440,1.125126,0.590075,46870387.897048
140.197008,1.324751,4.243615,0.044099,13131876.764163
140.039600,2.662865,0.262531,0.532342,65628341.847537
150.687901,0.002616,3.821341,0.798838,29453222.799364
140.430182,0.582537,1.567784,0.345928,75111477.733663
151.960517,3.140233,1.371847,0.522671,23977493.484458
140.382312,2.047319,5.152421,0.059200,22048029.135343
146.988611,3.138358,0.511993,0.874040,56383069.757893
141.950626,3.131440,2.744613,0.524228,16652709.751675
143.413715,0.010191,2.653145,0.854792,24336159.177580
140.019745,3.137571,0.279473,0.581217,36821764.494760
151.211572,0.004541,1.925900,0.807723,52683838.922995
149.053882,3.136995,5.668849,0.667849,31695724.880655
142.632439,3.134101,0.420585,0.668290,38395555.148207
151.697064,3.141299,0.423020,0.642819,40389347.442297
140.460803,0.255115,3.842220,0.242952,47687951.197532
140.256750,1.343065,2.210690,0.192962,37308712.078122
140.197147,3.133360,4.470496,0.436664,14946897.211199
140.186096,2.360331,1.083822,0.061518,37191650.178281
140.118745,0.304214,0.464497,0.071586,21332567.747504
140.085711,0.016593,5.297317,0.286718,21326209.752944
148.326037,0.002737,0.901366,0.834982,22203239.002542
148.975578,0.005417,5.845587,0.458654,21421953.671024
146.325036,0.004573,0.228760,0.496190,41660198.354943
145.262340,3.137144,2.419624,0.445792,30684429.745930
140.071440,2.012803,5.583406,0.103157,44860513.616718
140.105632,1.411786,2.610810,0.098870,25887883.849907
140.878668,0.018831,0.183787,0.425177,36129491.087076
140.229155,3.132527,1.583157,0.524328,62201382.779681
140.149499,0.882380,5.204424,0.112238,29603570.670725
148.760538,0.003419,2.076592,0.591197,21097321.948785
144.850999,0.005340,0.011772,0.306680,31591004.970255
140.085636,3.079698,5.947313,0.091212,23282602.079020
143.240292,3.135729,1.530410,0.377236,17656524.892793
142.195000,3.135351,0.958928,0.377694,35614493.527714
140.097239,0.024826,1.776708,0.454735,36599234.685159
141.673600,3.130221,2.955231,0.638234,49431911.705380
140.106775,2.997737,4.689865,0.574923,38545155.020208
140.110923,3.133989,5.810497,0.493526,16867011.568315
148.616341,0.006269,4.070495,0.530522,27957224.079357
144.948708,0.007420,2.620787,0.459801,31355011.172174
160.911315,0.003761,5.026858,0.948693,24857140.731823
146.997448,0.003532,3.383111,0.444724,18567588.113271
144.208151,3.138598,0.546577,0.352288,25988863.763508
146.981157,0.007116,2.461585,0.581336,37494215.919403
140.172793,2.024549,6.142227,0.042033,21500867.603504
140.536190,0.008975,5.131433,0.378287,84848933.402189
140.308677,3.117138,2.201299,0.457864,91710705.531182
141.095034,0.007897,3.114392,0.573736,35162327.914592
140.082975,2.079270,5.746141,0.380665,51409248.013549
152.511797,0.004919,5.426298,1.207233,38954684.669810
146.771245,0.007092,5.878526,0.631484,21713673.421423
140.000075,3.134314,1.945178,0.457904,20983626.046065
141.484786,3.139259,3.236595,0.715250,34213116.726747
140.774291,2.431764,0.235712,0.270844,61531549.352798
140.205938,0.009521,5.469437,0.357112,25361666.300145
148.817975,3.138136,0.059612,0.475270,39752799.986934
140.107299,2.598522,0.086270,0.265409,51311634.097069
142.545153,0.012572,2.963109,0.418923,44072870.290634
144.818548,3.136529,2.940892,0.419586,14427037.656000
140.136749,0.025317,3.172147,0.152692,26754441.108472
140.034317,2.454294,5.532235,0.344430,68812575.123072
140.644242,0.006249,2.320136,0.360714,69450244.577475
