# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
141.914254,3.134261,6.244846,0.293688,27807624.207357
155.142901,3.136959,5.199055,0.538231,25304818.348785
142.103527,3.135333,6.068466,0.553412,19404225.397429
140.081740,3.128058,3.793557,0.520115,28322247.767039
140.492803,1.015266,3.458283,0.121650,23185736.161900
141.582583,0.008007,2.815652,0.461792,31574548.984335
140.030742,0.280623,2.869166,0.196930,14900895.250559
147.824690,0.004482,4.138829,0.910207,26809045.061752
140.170920,1.375555,3.686224,0.305226,26228223.558709
140.633601,3.139129,1.299847,0.341240,18913163.817590
145.924715,0.008700,5.717370,0.792596,26044589.715828
140.236538,2.498481,1.083847,0.464827,50922300.430187
145.704311,3.132710,4.675094,0.769502,27898506.129597
140.163930,3.127487,2.784977,0.522061,11294790.336005
147.617753,0.001317,1.450977,0.572196,58790505.698065
140.222883,3.128876,0.271689,0.250681,22904488.402541
147.361536,0.007718,3.354128,0.430790,27361816.588794
141.039299,0.008713,0.373723,0.275954,32333020.335378
140.003670,2.102511,3.308125,0.108772,27352092.597114
140.545582,0.059399,0.711280,0.223300,13733642.249282
140.424120,3.137105,3.611199,0.429003,26352017.452790
145.813663,3.138232,3.823434,0.417548,29753170.542726
140.114312,2.838237,1.908746,0.075946,15304814.904958
140.187183,3.131632,1.068959,0.401716,36883100.442280
143.693445,3.134472,3.275978,0.275198,27771346.238396
144.388787,3.139467,3.314514,0.692231,62698054.354723
140.396067,0.025947,2.054561,0.251770,6561076.386239
141.977203,0.006574,4.712002,0.196965,15651138.608637
141.368281,0.002136,3.071552,0.327235,27679342.317116
142.367242,3.128092,3.581831,0.582487,66292939.278900
140.095231,0.010322,5.096270,0.606803,25635060.066226
140.087784,1.188169,4.646326,0.074342,20538192.427186
149.764082,0.002707,0.656550,0.745808,29213115.004803
140.595092,3.118051,1.656186,0.191585,22555920.700781
140.030128,2.771472,3.176563,0.057239,9650687.742723
140.694994,3.131161,6.197816,0.671670,35283129.811232
140.312148,0.061285,4.989485,0.371771,13142348.755203
142.521437,3.137366,4.226910,0.459290,48778160.264737
140.045617,0.004584,4.513366,0.401707,26564823.270711
140.463451,0.334350,5.874052,0.080494,14743067.385600
140.212896,0.009058,3.204396,0.498671,21120883.928625
140.279262,3.070301,3.499869,0.060085,4451344.191360
