# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,0.695,0.0
152.875104,3.137383,0.890946,1.183320,1502730.714240
155.445394,0.001184,3.582301,0.866470,607749.480000
164.451244,0.001304,4.727415,1.059832,970903.169280
156.768749,0.002072,5.474534,0.793675,507517.565760
148.193597,0.005985,3.854509,1.148454,1305258.883200
144.186775,0.005593,1.825183,1.316563,2219314.101120
143.617231,3.139131,3.239925,1.101963,1176228.993600
155.856308,0.005200,2.853409,0.944271,1045703.105280
147.683925,3.132299,2.951105,1.049743,1518438.700800
142.578518,3.134024,2.544805,1.280085,2111228.193600
141.841984,0.016800,4.288001,1.165336,3978234.596160
140.297022,0.006691,2.747285,1.069330,2247738.076800
153.668755,3.136388,0.134181,0.970878,1175854.993920
154.252619,3.138680,0.099300,1.000460,2724961.668480
163.121625,0.006771,4.288489,0.895706,734161.371840
148.950500,3.140148,2.517456,0.834925,342209.707200
140.206206,3.139051,4.867626,1.096732,1144065.021120
141.175830,3.141553,1.026570,0.904183,822425.296320
164.523576,3.138980,4.445329,1.040674,1038597.111360
159.051901,0.003578,2.412400,1.042851,1679632.562880
165.171671,3.138294,5.481271,0.971986,643279.449600
141.777950,3.136828,4.437995,0.906002,944349.192000
144.255049,3.139629,1.563166,0.839127,650011.443840
151.036311,0.010673,3.258221,0.812887,362405.689920
145.158402,3.138416,3.286865,0.873176,485451.584640
148.924581,3.141100,2.057939,1.007190,767447.343360
151.373587,3.136839,5.277429,0.921171,888997.239360
183.061202,0.005287,5.800459,1.065413,1892438.380800
143.298073,3.136374,4.264542,0.902708,842621.279040
150.294985,0.000033,5.445593,0.786368,281247.759360
168.427114,3.137088,3.230425,1.003367,829157.290560
145.825709,0.010172,2.473371,1.116761,1155285.011520
150.102853,3.126630,2.784329,0.839364,1073753.081280
156.196235,3.134501,3.121207,1.135876,1763034.491520
165.472693,3.138814,4.129657,1.089020,2559279.810240
141.438048,3.136866,5.281888,0.966264,689655.409920
182.401780,0.003293,6.210645,1.109286,5093501.641919
144.791645,0.006894,4.144715,0.867247,384845.670720
145.012526,0.000634,5.718245,1.262463,2125814.181120
141.687885,3.135217,0.525116,0.829165,274141.765440
161.411354,0.005122,3.950044,0.819763,458523.607680
155.596456,3.130853,6.226944,0.782941,181389.844800
173.167584,3.140383,1.997223,1.192528,1575660.651840
153.101663,3.135792,0.316098,1.237312,1137707.026560
182.344947,3.141477,6.184181,1.200175,1833720.431040
149.871705,3.138114,2.830281,0.887844,522103.553280
146.193485,0.006783,1.459794,1.188342,1381928.817600
161.250319,0.006389,5.951832,1.092296,916299.216000
172.339582,0.001376,0.836876,0.900960,617473.471680
166.078223,3.012371,0.459477,0.892973,875159.251200
147.800892,3.140387,0.236739,1.011137,1208392.966080
159.726642,3.138614,5.740882,1.424097,1948164.333120
141.680834,0.004944,1.179222,0.928324,1447752.761280
151.540091,3.132875,1.445369,1.119534,1371082.826880
143.940907,3.136194,1.795331,0.879809,684045.414720
145.624000,3.135299,4.287436,0.992771,770439.340800
140.382815,0.003827,1.335911,0.858435,1078989.076800
143.913216,0.008188,1.387143,0.934596,1020645.126720
142.729580,3.138281,5.320901,1.337823,2217818.102400
140.217857,0.003571,0.296934,1.250507,1446630.762240
144.957229,0.006392,1.209518,1.281810,1794450.464640
146.452681,0.002040,1.583246,0.961088,619717.469760
174.724217,3.140698,1.718713,1.071123,1406986.796160
177.458781,3.136566,5.189736,1.113814,2376767.966400
155.078789,0.002025,3.683382,0.992152,1227840.949440
155.130404,3.134588,1.568613,1.117793,1935074.344320
165.074409,3.131122,3.620461,1.042712,1283192.902080
165.302087,0.002141,2.341653,0.893932,343705.705920
145.685035,3.135542,4.240864,1.014211,1833720.431040
140.236644,0.049261,1.435532,0.978768,776797.335360
146.339079,0.005941,5.669196,1.032488,1108161.051840
146.062053,0.008518,4.383098,0.929961,1165009.003200
149.874831,3.131089,0.319970,1.104815,1742090.509440
147.133487,3.138604,5.767170,0.966835,814571.303040
149.527962,3.137978,2.463544,1.024334,1196424.976320
143.586514,3.139157,2.815332,1.095904,1158277.008960
147.031431,3.134594,5.538021,0.874423,1474680.738240
142.353990,3.140628,3.087112,0.867223,609245.478720
156.660895,0.003273,4.794557,1.002954,1878226.392960
169.303283,3.139602,5.794181,0.946313,637295.454720
152.335420,0.020028,4.551720,1.107205,1449248.760000
143.155065,3.136635,4.950179,1.138045,1073379.081600
170.568911,0.012503,3.942297,1.320525,1631386.604160
150.845252,3.136144,1.637194,1.299674,1347520.847040
153.295930,3.134370,1.332237,1.243731,2204728.113600
140.637904,3.137774,5.478300,1.079652,2404069.943040
193.408815,3.141417,5.385167,1.412136,1275712.908480
146.837690,3.139365,2.470610,0.866167,478345.590720
145.017508,0.001895,2.896504,1.134299,3472213.029120
165.552933,3.139130,1.377628,0.799244,312289.732800
156.516142,3.136932,1.922790,1.044267,1478794.734720
162.045098,3.140620,0.451286,0.961138,1578652.649280
141.292846,0.000658,1.584717,0.931713,1217368.958400
145.581238,0.006061,4.806470,1.091547,3279229.194240
149.136759,0.006314,4.406052,1.221074,2747401.649280
151.481297,3.134949,3.668526,0.861971,750243.358080
145.392126,0.001117,0.702550,0.817142,465255.601920
144.242905,0.003747,0.772521,1.070362,5559131.243519
141.864040,3.134532,6.212714,0.824004,635425.456320
163.604496,3.134039,4.662279,1.147699,1637744.598720
166.463248,0.004864,2.878370,0.874182,479467.589760
146.767074,3.137949,4.161322,1.015653,1553220.671040
153.420496,0.006658,3.663383,0.962505,1269728.913600
173.323903,3.137981,0.571612,0.872676,922657.210560
168.471418,0.001607,0.477185,0.981860,995213.148480
158.324301,0.005289,0.241422,1.039974,1727504.521920
143.123024,0.000633,5.044728,0.888822,986985.155520
141.224737,3.136796,1.253667,0.914939,2257836.068160
150.551537,0.007021,4.659731,1.017600,1865136.404160
141.721734,0.000981,1.873373,1.118708,1095445.062720
145.238480,0.008451,2.518025,1.155953,1654574.584320
173.030515,3.139797,1.586554,1.049643,2193134.123520
144.681763,0.003672,4.722486,0.820338,470491.597440
141.689564,3.136506,0.623329,1.135970,5154837.589439
144.726686,3.133777,4.616475,1.551132,5934626.922239
145.096621,3.135035,5.926400,0.964505,700501.400640
152.277411,0.008312,2.582029,1.078756,1009799.136000
146.033384,0.003050,3.915851,0.965908,801481.314240
149.119825,0.007816,2.334491,0.965117,514997.559360
141.290885,0.006365,0.106830,0.922745,788765.325120
148.805596,3.138363,0.873858,0.949354,1237564.941120
143.963540,0.006052,0.939758,0.969647,681427.416960
140.766047,0.030453,3.315040,0.946022,773431.338240
147.604928,3.132893,6.003476,1.151370,3927370.639680
143.907934,0.006716,3.474886,0.885792,1506470.711040
146.565529,0.007052,4.758359,1.029769,931259.203200
149.630716,3.138366,4.091616,1.156515,2505049.856640
162.418863,3.136399,3.211606,1.091937,1811654.449920
158.064829,0.003884,4.951368,0.958566,735283.370880
154.911908,0.004076,6.000017,1.038711,2136286.172160
146.090486,3.134328,5.196552,1.259078,1286932.898880
155.989940,0.007075,1.927103,0.954556,1653452.585280
143.215589,0.011139,3.911181,0.840207,780911.331840
159.401232,3.139734,1.430692,0.960483,593911.491840
140.927067,0.003546,6.208089,1.086695,1807166.453760
149.503793,3.134326,3.027241,1.472003,1550228.673600
140.431095,0.007390,1.159377,0.930642,895729.233600
150.660486,0.003358,1.720156,0.876185,1043833.106880
151.572189,0.001428,5.574454,1.106176,1825866.437760
151.548596,0.010468,4.270049,1.300960,3025283.411520
141.615175,3.138041,4.656823,0.778382,224025.808320
162.219263,0.003279,4.817069,0.990425,1187448.984000
148.221391,0.006050,6.237371,0.789879,311167.733760
142.292940,0.008509,0.822987,1.213457,2546189.821440
143.873728,0.006297,2.491845,0.945355,1025133.122880
154.492739,3.135896,3.126299,1.013997,1335926.856960
142.532464,0.008282,2.743180,1.162211,1888324.384320
148.190581,3.136223,0.721814,1.233173,1561074.664320
156.407438,0.006333,0.078653,0.899488,1421572.783680
143.346473,0.003783,2.303450,1.058860,2177426.136960
147.425278,0.003348,5.166961,1.086759,3839854.714560
144.026714,3.138417,3.485043,1.017037,1626898.608000
145.984373,0.003437,5.844296,1.103455,1037101.112640
157.856669,0.002386,2.079165,0.967468,816441.301440
140.470529,3.139929,0.092982,0.901625,596903.489280
142.063394,3.131790,5.473370,1.019676,2391353.953920
148.461429,0.005879,0.952632,0.858482,701249.400000
142.018156,0.004949,3.133049,1.021197,1155659.011200
156.980691,0.002939,5.690295,0.897171,1543870.679040
143.733313,3.134805,1.140358,1.395051,1769392.486080
141.115646,0.005386,4.525913,1.219357,1898422.375680
144.557817,0.007252,2.701771,0.954473,2743661.652480
150.806865,0.004760,3.206962,0.967128,842621.279040
159.955855,0.004218,4.195022,1.285134,2535717.830400
140.022413,3.133274,3.638182,1.221918,2576109.795840
150.704829,3.135953,6.083139,1.112498,1313486.876160
148.329307,0.004912,4.602432,1.238744,3425463.069120
145.324280,3.139172,3.564794,0.984374,1663550.576640
145.702068,0.006255,2.842237,0.876238,828035.291520
180.499852,0.004286,5.728834,1.155462,1600718.630400
165.912684,0.005069,4.705278,1.422271,3689880.842880
157.074376,3.140209,4.247195,0.889267,1082729.073600
142.879707,3.132737,3.970382,1.090752,2751515.645760
165.797613,0.002901,0.385968,1.012710,1784352.473280
160.831257,3.141025,4.105866,0.902487,1022515.125120
158.842227,3.135107,0.090917,0.985137,1525918.694400
142.455086,0.008493,3.654397,1.143392,1389782.810880
142.121824,0.006009,0.937096,0.908322,865435.259520
155.871522,0.002873,3.414911,1.180653,2993867.438400
150.132222,0.000491,4.950148,1.123806,1568928.657600
162.748095,0.005288,3.280486,1.233755,6693472.272960
155.338034,0.002276,2.336500,1.171199,2216696.103360
144.939434,3.137425,0.297388,1.291777,2872317.542400
147.136917,0.021684,3.916155,0.865075,626449.464000
140.295949,0.010038,3.637733,0.862354,304809.739200
141.282057,0.002172,6.257504,0.997452,1129479.033600
146.311789,3.137976,0.737737,1.019879,909567.221760
141.250347,0.005864,0.306066,1.009373,966415.173120
159.759656,0.004130,6.149202,0.917763,1104421.055040
141.838663,0.012061,2.727146,1.110469,1076745.078720
156.735822,3.139473,2.877107,0.892195,1645598.592000
148.700302,0.002575,3.840547,1.100135,4903135.804799
141.596661,0.003242,1.201532,0.890383,1509836.708160
160.513357,3.137791,1.380416,1.207278,1605206.626560
171.675902,0.004312,3.493693,1.125874,1515820.703040
154.907303,3.139318,5.067913,0.826966,456653.609280
148.627877,3.134649,2.849501,0.991237,1802304.457920
147.918643,3.137267,5.746712,0.903775,684045.414720
163.908737,3.139873,2.093054,0.895977,1127609.035200
151.406108,0.006220,1.058566,1.031070,1140699.024000
144.747874,0.005982,6.195353,0.865802,724437.380160
145.389152,3.141110,0.209712,0.942607,1149675.016320
162.951040,0.000280,5.534582,0.859346,691525.408320
140.539981,3.134816,2.136774,1.237666,1938440.341440
148.723043,0.001787,2.170230,1.116477,1410726.792960
143.524137,3.130632,3.014909,0.906663,773431.338240
144.985402,0.009317,3.982715,1.114287,2877927.537600
141.258352,3.141434,1.004378,0.875969,565113.516480
149.941739,3.136501,1.492061,0.935566,813449.304000
147.105819,0.010269,0.087763,0.932179,1427182.778880
158.615078,3.141243,2.881821,1.240623,2436607.915200
145.827114,3.138084,0.349232,1.150482,1670656.570560
140.814044,0.007441,5.762796,0.994461,734161.371840
163.272900,0.000358,2.976244,0.890394,1217742.958080
148.019028,0.002441,2.686868,1.120987,3164785.292160
152.687953,0.006101,5.453881,0.992598,1051313.100480
160.054469,0.004104,1.796790,0.900435,606627.480960
144.898651,3.139165,2.562024,1.407595,4157006.443200
149.654712,3.136218,2.116351,1.138767,3752338.789440
145.794777,0.004658,2.258755,1.106595,1282444.902720
163.219277,0.005729,4.883539,1.094492,1504600.712640
167.211941,0.004513,2.616948,0.926089,1603336.628160
143.961269,0.000859,3.768351,0.964149,918169.214400
151.536147,0.001696,3.467242,1.073132,1210636.964160
142.110243,0.003605,3.737643,1.176942,1805670.455040
144.826423,3.140899,1.719755,1.244343,975765.165120
140.726660,0.011284,6.176372,1.121742,1436532.770880
143.672903,0.004799,3.165379,1.503568,3983844.591360
158.247506,3.139667,0.710836,1.165583,2487097.872000
159.153306,3.136223,2.105135,0.974906,1592864.637120
144.465016,0.009169,6.210409,0.827109,461889.604800
162.466984,3.139743,1.847327,1.004235,1197546.975360
155.585416,0.001049,4.378585,1.098656,2331514.005120
148.142944,3.138914,4.899050,0.977706,1517690.701440
147.282704,3.137240,3.497567,0.950178,1455980.754240
142.676914,0.004599,2.468945,1.115968,2022590.269440
141.922418,3.133676,4.106778,0.816258,924901.208640
142.924614,0.027683,3.343725,1.230094,5693771.128319
