# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000140.622012,0.007241,5.964186,1.268787,933278.801472
142.613333,3.137735,1.913545,1.529356,2168973.744192
141.730331,3.136040,6.142165,1.336127,690627.809088
140.693538,0.002395,0.479884,1.228706,529433.947008
142.208193,0.002230,4.921824,1.229392,566983.514880
140.503787,3.134112,5.838614,1.848942,3974382.399452
145.173334,3.139000,0.980892,1.516588,793141.121376
144.624938,3.138452,0.505856,1.679412,1596754.233793
140.341534,0.008050,5.734250,1.472791,1078054.077601
145.133004,0.003272,5.343211,1.271907,685840.613184
141.849170,0.004269,5.276606,1.331062,489902.180832
142.555882,3.136471,6.102098,1.238715,648440.645184
142.635907,3.139043,0.378400,1.446940,887912.640288
142.757748,3.140261,2.403977,1.665381,1874710.795969
141.261040,0.000385,4.381782,1.333960,667215.429120
141.951655,3.140250,2.737425,1.342774,581045.902848
144.635702,3.140730,2.769845,1.289547,669908.226816
140.566197,0.002695,2.260537,1.357981,878375.648448
142.718160,3.138937,0.510515,1.445399,1215685.959841
141.778845,3.140405,4.462043,1.279884,592078.893408
142.399960,0.002170,5.768225,1.509076,831962.288160
141.478194,3.137897,4.904266,1.342666,736741.969632
141.336858,3.135047,4.903717,1.445838,1495886.520098
140.775304,3.139361,6.260337,1.595551,779527.533024
143.433392,3.139510,1.722957,1.221313,464395.402656
140.663975,0.002263,0.766190,1.426328,1164784.603393
141.946444,0.001470,3.685689,1.216844,328259.519136
145.218078,0.000761,2.263486,1.384090,540728.737344
140.098091,3.138005,2.024653,1.579733,1104944.654593
140.363420,3.138187,0.151361,1.438407,1300209.887521
141.891340,3.137575,0.899535,1.711455,1446331.562497
140.269150,0.008416,6.147143,1.227714,442217.221632
140.539765,0.000838,1.383690,1.435528,1260678.121345
140.170415,0.007085,2.717754,1.273958,697733.803008
141.781443,0.001596,4.842608,1.344600,970790.969376
140.447506,0.002505,4.523880,1.180494,275637.764160
144.681423,3.137668,3.386914,1.461604,1692124.152193
142.830323,0.003773,4.156201,1.488616,1307802.081025
145.469960,0.004816,2.696779,1.524739,1542935.679841
141.527814,0.006572,1.404361,1.288988,582467.101632
140.736529,0.004271,1.860089,1.204345,342060.107328
140.835821,0.009389,2.309807,1.496300,1582093.446337
141.472608,3.138536,6.223441,1.161854,239210.195328
143.080072,0.004281,2.696006,1.372073,1348081.846561
142.559108,3.136961,4.069854,1.230457,404966.853504
140.015490,0.007116,5.349686,1.505354,1884509.587585
141.797244,0.001029,1.615255,1.479544,1119942.041761
143.888641,3.137578,1.904654,1.395043,542449.135872
141.455220,3.137222,5.394305,1.323912,625776.264576
142.196541,0.001142,1.902656,1.236255,364761.887904
141.826715,3.137762,1.174239,1.137103,170169.854400
142.355764,0.005459,2.107866,1.585487,1639315.397377
140.056303,3.136762,0.799965,1.354185,714451.588704
142.811961,0.003786,4.848488,1.229715,337534.711200
142.516842,3.134339,1.987236,1.243513,312888.132288
140.835738,3.136298,6.077548,1.305875,1554978.469537
140.800116,0.004220,5.450392,1.438646,642045.250656
140.139400,3.134036,0.563955,1.436213,571022.711424
144.121897,0.002472,1.724085,1.364572,1931596.147296
141.798242,3.140615,3.489988,1.841397,1746204.505921
143.272753,0.004478,2.613110,1.327028,423405.037728
142.251145,3.138567,4.834992,1.408779,947902.188960
143.148126,0.004859,4.389268,1.286143,354102.897024
