# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with my code. 
153.744545,0.000043,4.051062,0.788328,40142507.653496
140.047909,0.025461,2.786539,0.098293,28066805.985598
140.234706,0.905800,4.531842,0.266351,36321726.922597
140.333968,3.120960,5.537172,0.426338,37580983.845163
140.302168,0.015028,0.081747,0.630900,55552042.468929
140.046054,3.133858,1.523967,0.421362,30030304.305607
140.121665,1.793847,5.837464,0.223306,30154098.199688
140.189060,0.353103,0.901719,0.307737,49090075.997858
140.181871,3.135539,3.428256,0.389834,18573572.108151
140.284101,0.894140,1.282406,0.214452,34704926.305950
140.103835,0.123630,5.226893,0.309004,23139360.201580
160.484319,0.000554,3.278393,0.766799,22632964.634861
140.138688,2.881527,0.583770,0.056682,12847637.007364
140.248529,0.775567,2.169743,0.272311,24605812.946861
146.400101,3.139628,0.586254,0.483362,49584877.574501
141.244666,0.003740,3.572152,0.331350,27712628.288636
140.068915,0.009391,2.017286,0.531795,20726314.266226
140.856337,1.694882,4.303401,0.123059,22166961.033582
140.556773,1.378989,6.254402,0.212536,32328158.339538
140.630032,1.847559,6.035633,0.245691,48640528.382496
145.029837,0.004786,0.904952,0.608142,43749734.567113
140.785813,0.000761,3.501578,0.419438,56823641.380935
140.165866,0.787854,1.931165,0.196466,50817580.519786
150.396126,3.136735,2.970811,0.678905,47831193.074972
140.264671,3.134977,3.095003,0.738310,34618906.379549
140.794963,0.029412,3.166173,0.378662,32145646.495697
149.939212,3.137358,2.625939,0.617160,38848468.760689
142.682840,3.139287,0.194510,0.541661,46060678.589844
140.738739,0.007097,5.094594,0.383577,56360629.777093
142.771058,0.007454,6.270912,0.616935,35321651.778273
156.527544,3.140753,0.282567,0.746848,61143337.684956
145.411801,3.138342,4.054865,0.811393,49835831.359782
147.031342,0.004677,6.053006,0.365485,23477081.912619
142.843687,0.007492,1.214520,0.451552,25685176.023346
140.503172,0.005053,5.535875,0.366805,24970836.634543
146.713473,0.006638,0.523331,0.635629,22943758.368940
140.413498,0.050070,4.825812,0.584593,57865230.489740
145.292956,3.133296,2.612201,0.721349,73965168.714457
140.775022,3.112673,2.847361,0.125062,31681138.893135
140.625594,1.408555,2.530315,0.375008,38721308.869489
140.125229,0.001617,4.292235,0.402703,19957370.924147
148.216882,3.141080,6.242708,0.770863,54302135.538363
165.549010,0.005574,4.029939,0.870083,40797381.093179
141.112821,0.002850,2.162793,0.312825,22785930.503981
140.111519,0.007354,5.068322,0.266111,31675154.898255
140.108916,2.105216,5.792863,0.061822,15577086.671998
154.372739,3.136514,4.333983,0.656505,14842551.300479
161.143927,3.138383,1.930987,0.778983,38636784.941808
142.449193,0.002653,0.350719,0.341771,56001216.084611
140.080598,0.023564,0.394378,0.170679,24967470.637423
142.763823,0.008066,6.275582,0.522574,16011300.300477
141.223729,3.127209,1.680786,0.485449,56242071.878532
140.300849,2.449988,5.793365,0.068725,17681956.871033
140.203259,0.237345,0.537254,0.441424,58225766.181262
144.975373,3.133699,0.778402,0.303628,31043843.438412
142.272651,0.006186,5.162056,0.543415,45972040.665683
150.246432,3.140372,5.981525,0.632944,43309910.943431
140.366866,0.530758,4.757816,0.080766,26086477.679988
141.050431,3.117681,0.058956,0.649637,41887590.160384
145.145525,0.005333,0.907764,0.535267,31657202.913615
140.312495,3.059853,6.283033,0.062325,17537592.994553
165.372963,3.138474,4.576380,0.832675,40257699.554936
140.414745,3.136633,1.605563,0.456352,22505430.743981
141.288202,3.138112,6.060240,0.329474,22149757.048302
140.183005,0.852814,4.599219,0.127690,26094705.672948
142.742047,0.001902,2.680005,0.373491,71364000.940045
140.175244,0.230349,2.476679,0.074243,14949515.208959
141.778886,3.141587,5.737321,0.349806,23876887.570538
140.045079,0.695968,5.564827,0.288887,29627132.650565
166.262990,3.134505,5.992211,0.964759,71269005.021324
140.472529,1.019181,1.097791,0.403900,48118798.828894
148.411107,0.004490,0.410481,0.734993,43843608.486793
140.122321,0.102724,3.259972,0.047417,5994840.870719
153.395877,3.139578,0.023767,0.893198,34867990.166430
147.150289,0.002075,5.040125,0.426541,38810694.793009
140.139181,1.098192,0.203564,0.076618,33444921.384024
141.592093,3.137138,4.037486,0.603708,45089775.420559
140.556099,0.033623,2.262278,0.551092,22882422.421421
140.071533,0.790168,5.125390,0.062143,22623240.643181
172.099590,3.138616,5.203888,1.027392,21891697.269103
140.021278,0.440665,5.930956,0.083915,21788847.357103
140.488082,3.131299,5.912259,0.550023,32959095.799701
146.329171,3.138030,3.863477,0.454326,37904119.568685
140.386127,3.127986,0.394510,0.369840,17970684.623992
140.593900,3.105340,3.254201,0.107771,21846817.307503
142.121060,0.001634,1.518847,0.700309,20615984.360626
140.701010,0.228614,4.948888,0.438582,15248340.953278
143.554923,0.007099,0.652036,0.797454,28585917.541440
140.163504,1.984131,1.299612,0.071631,25651142.052466
140.041392,1.292869,3.085368,0.369657,51956783.545072
142.000903,3.136566,2.132065,0.746698,23164044.180460
143.400865,3.133682,2.109432,0.567819,49703809.472741
140.664716,0.002460,3.616698,0.250783,22669990.603181
140.009341,0.008323,3.509723,1.588643,31145197.351693
140.196037,2.227144,4.968899,0.192308,73456903.149335
140.581375,3.131418,3.869233,0.485257,15045633.126719
142.530359,0.007330,2.268727,0.427723,51161286.225708
140.064381,1.537120,0.783610,0.066443,30531463.876810
149.612677,0.008313,3.276058,0.635919,58060084.323021
140.130559,0.314499,5.392576,0.158630,32466538.221139
140.871096,3.126572,2.788304,0.347742,39586744.129013
141.427571,0.002375,2.833110,0.518296,41679646.338303
140.358730,3.075711,3.999224,0.290482,26421207.393590
140.372350,1.114035,6.034227,0.231439,30275648.095688
143.037000,0.008133,5.319831,0.636156,32240642.414418
140.302583,0.009374,1.106538,0.504521,48992836.081058
141.982594,3.135344,3.962694,0.481515,32866717.878741
140.180114,2.871816,5.050409,0.128598,30001506.330247
143.091611,0.006606,2.973928,0.706168,30625337.796490
140.877907,3.134783,6.092208,0.302830,42754895.418308
140.038960,1.685730,5.985036,0.418615,43323748.931591
143.785969,3.139660,1.978023,0.487272,31492643.054414
140.145668,0.557540,0.226338,0.096491,29167487.043843
