# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
148.858985,3.133285,0.906376,1.358191,2287756.042560
143.788613,3.136395,0.369960,1.139468,2957589.469440
141.656493,3.138623,3.445295,0.702634,2033810.259840
140.754530,3.136994,2.272650,0.710594,1041589.108800
174.167250,3.140896,5.655697,1.134216,9366447.985923
146.314123,0.003065,0.378470,0.759329,1767522.487680
145.705130,0.003661,5.257865,0.652960,925275.208320
142.181880,0.006020,3.087806,0.691749,957439.180800
143.357671,0.009581,1.332152,0.623640,822799.296000
140.282879,0.010008,3.096093,0.760160,986985.155520
161.200466,3.141268,0.844397,0.719901,617473.471680
142.315156,0.005799,2.774917,0.583585,478345.590720
154.920529,0.016541,5.856232,0.924242,2542075.824960
145.747464,3.136608,5.208772,0.782895,2051014.245120
154.847749,3.134398,2.801133,0.715034,1225222.951680
143.775744,3.132323,4.366207,0.789003,2299724.032320
140.922805,0.006708,3.017478,0.928861,3158427.297600
152.296880,3.139386,4.776455,0.699436,1489266.725760
158.332888,3.137086,4.241917,0.919107,2644925.736960
168.069593,3.140389,4.987893,0.870491,2329270.007040
145.249145,0.000802,1.851437,0.757770,2503927.857600
149.342069,3.134472,3.506277,0.763268,1614556.618560
142.333810,3.133387,5.424899,0.906572,3771412.773120
146.067424,0.007252,2.838162,1.362797,8164039.014721
159.612932,0.002589,5.268877,0.953589,4209366.398400
144.182772,3.135436,4.205968,0.738416,851971.271040
162.117214,0.003494,6.243399,0.738313,960431.178240
144.302213,0.013760,3.519091,1.126377,2602289.773440
141.922419,0.003914,0.425581,0.811240,1709552.537280
147.109304,0.008673,0.263694,1.098055,2217818.102400
161.264829,3.140300,3.641475,0.950582,1304510.883840
164.810815,3.131852,2.000982,0.744419,828035.291520
156.649265,0.006872,5.675773,1.203078,3804324.744960
147.012906,0.006599,1.352984,1.113512,5379237.397439
144.056067,3.139580,5.320009,0.671980,1199042.974080
176.496123,3.139130,5.697918,1.025441,2356197.984000
147.916408,0.003539,2.796345,0.971717,7444837.630081
152.417653,3.135509,3.156925,0.704307,754357.354560
144.374673,3.136562,5.326125,0.700651,1078615.077120
148.779327,0.004180,1.452110,0.723414,2297854.033920
142.629439,3.138833,4.163846,1.088268,3801706.747200
140.644002,0.010810,4.817172,0.753236,2470641.886080
144.589477,3.135802,1.494977,0.982175,3492409.011840
141.431490,0.008750,5.827467,0.906744,1307128.881600
155.944179,3.140279,3.377383,0.990722,2791159.611840
146.355059,0.002177,3.913754,0.751551,1504600.712640
145.310185,0.003923,4.824392,0.618019,1200912.972480
148.239139,3.136400,5.996159,0.750586,1313112.876480
150.946439,0.006315,1.948683,0.754729,4375422.256320
145.759311,0.003281,5.986951,0.620492,509387.564160
152.723833,0.003258,3.632045,1.104817,3026779.410240
140.845502,0.002967,0.905920,0.869457,2807615.597760
144.458310,3.138280,2.127323,0.684145,982871.159040
164.272422,3.134248,0.862449,0.694665,813075.304320
151.563175,3.118584,5.782231,0.878286,1975466.309760
151.405376,0.003441,0.635752,0.716295,2502431.858880
143.808145,3.140412,5.671765,0.652872,749495.358720
154.834697,3.133430,1.700164,0.944944,2150872.159680
142.960381,3.139781,5.399599,1.148884,4760267.927039
150.240499,0.007857,2.326821,0.740294,1193058.979200
140.113501,0.185804,4.979331,0.967607,2571621.799680
144.658783,0.006963,4.910419,0.620995,672077.424960
156.750133,3.140647,5.972334,0.735732,1939188.340800
140.154485,0.005965,0.114198,0.723014,1027751.120640
141.858957,3.133247,0.712897,0.634467,725185.379520
140.438771,0.006184,0.802280,0.839368,1859526.408960
145.459266,3.135857,0.243251,1.282111,3241829.226240
164.372584,0.014677,3.200104,1.212261,5012717.711039
184.143095,3.141158,3.686427,1.472517,4157006.443200
163.324934,0.005206,2.404370,0.838886,4510436.140800
141.639735,3.132944,1.657119,0.958461,1740594.510720
168.078318,3.140644,5.756688,0.981445,3181241.278080
142.088601,0.004922,1.758096,0.598326,543421.535040
154.696664,0.001297,5.314242,0.766243,1538260.683840
147.931472,0.003354,3.257596,0.855698,3739248.800640
140.555660,0.006072,0.705161,0.582732,450669.614400
142.076468,0.004929,3.699766,0.915807,2319546.015360
147.854822,0.004271,3.783079,0.641745,1091331.066240
147.348765,3.140194,3.368422,0.745045,2022590.269440
140.655718,3.120548,3.447423,0.666455,1112275.048320
153.890588,0.004539,1.796574,1.071959,2463909.891840
141.719833,3.138632,4.287296,0.727721,1332186.860160
153.976021,3.140344,3.624513,0.843829,1640736.596160
141.904590,3.134326,5.815879,1.329306,1973222.311680
141.944500,3.137189,0.914688,0.690384,1562570.663040
168.213337,3.134301,2.898674,1.095014,1909268.366400
152.099889,3.136337,4.094791,0.756955,1442890.765440
146.659873,3.135669,4.742298,0.856590,2216322.103680
143.013267,0.011731,5.031037,0.685571,1093201.064640
152.934533,0.006360,6.241935,0.988619,2481113.877120
142.879948,0.010752,3.746171,0.929272,1797068.462400
161.691948,3.138415,5.392057,0.804008,1459720.751040
143.607622,0.009778,4.744559,0.724499,1880470.391040
140.723000,0.001732,3.941667,0.738211,1224474.952320
155.978331,0.004382,6.213016,0.958895,3257911.212480
140.446613,0.011637,5.272533,0.824254,1889446.383360
154.440523,0.010291,4.692510,0.943168,10150725.314884
158.537947,3.135708,4.223634,1.243586,2748523.648320
162.622907,0.001633,2.533610,0.803610,1187822.983680
142.619040,3.135956,2.957749,0.941666,2202858.115200
141.135756,3.135611,5.213924,0.682027,1593238.636800
152.714928,0.005275,2.865288,0.780767,2997233.435520
148.469479,0.006635,1.710856,1.308754,2049144.246720
156.056530,0.005882,0.728759,0.835035,1288054.897920
163.307263,0.001291,2.355862,0.670605,1075623.079680
168.558170,0.017177,0.962522,1.153033,6633258.324480
141.836735,0.001035,4.769524,1.004054,5634305.179199
146.889479,3.134905,4.623976,0.737687,1525544.694720
146.193742,3.131197,1.105837,1.244679,5286111.477119
142.671638,0.005066,3.075078,1.145825,4515298.136640
151.789231,3.140344,3.380931,0.656376,695639.404800
148.075723,3.138779,1.451452,0.673616,967163.172480
144.847234,0.007040,2.546772,0.717054,943227.192960
156.214196,0.002246,3.570594,1.541827,5288355.475199
142.664618,3.136414,2.004698,0.741633,1566684.659520
143.225039,0.009094,1.558361,0.629230,518737.556160
141.492207,3.135836,0.396040,0.734309,2435859.915840
