# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.41272934e+02,3.13446426e+00,5.81155252e+00,3.71895880e-01,2.15266740e+07
1.41797714e+02,8.70913733e-03,2.34004974e+00,2.61709899e-01,1.18883280e+07
1.40116882e+02,3.48517299e-01,5.25958872e+00,2.16843292e-01,2.39610380e+07
1.47160995e+02,3.13682747e+00,3.74349117e+00,7.14207530e-01,3.91581440e+07
1.50317123e+02,5.54064568e-03,1.32861423e+00,5.09352267e-01,1.54151450e+07
1.40381546e+02,1.01756787e+00,1.70034051e+00,2.53585756e-01,3.88331360e+07
1.60855728e+02,3.68431187e-03,5.73356676e+00,1.21787322e+00,5.26883280e+07
1.40154434e+02,1.92079389e+00,1.99929520e-01,1.26296073e-01,3.44334040e+07
1.40728088e+02,1.53558692e-02,3.77525020e+00,9.42711830e-01,3.10513240e+07
1.41895142e+02,1.03597052e-03,3.56945848e+00,7.90519714e-01,2.56391760e+07
1.40958252e+02,3.15998085e-02,2.69378066e+00,6.10878944e-01,4.42508960e+07
1.40122757e+02,5.30962229e-01,3.37188268e+00,1.99472412e-01,3.29157140e+07
1.41953110e+02,3.13806558e+00,6.23492956e+00,5.87895334e-01,5.39636680e+07
1.47765762e+02,1.91841461e-03,5.92617941e+00,9.16298509e-01,3.60116840e+07
1.40116791e+02,3.12875104e+00,2.05820036e+00,2.02923745e-01,2.46821100e+07
1.40086716e+02,3.14119983e+00,4.60168839e-01,3.64734471e-01,2.05325840e+07
1.45441437e+02,3.13256669e+00,2.47947216e+00,8.10095966e-01,1.85275700e+07
1.41059677e+02,3.13705039e+00,4.83273602e+00,9.96119440e-01,3.80626960e+07
1.47690247e+02,3.76917515e-03,3.37056637e+00,5.30641377e-01,3.14608540e+07
1.41116562e+02,8.48869514e-03,2.30377626e+00,5.81688225e-01,1.71299340e+07
1.40007935e+02,8.15259337e-01,2.64547133e+00,1.08009368e-01,2.63415460e+07
1.43644928e+02,3.13991928e+00,2.88344288e+00,1.08659446e+00,2.19807100e+07
1.41864456e+02,3.13294792e+00,6.02452946e+00,6.01095021e-01,1.73401220e+07
1.40728500e+02,3.14069963e+00,5.67851448e+00,3.25052768e-01,4.18464520e+07
1.42153656e+02,3.13863349e+00,3.34202480e+00,1.08647096e+00,3.46263880e+07
1.40210754e+02,3.05427122e+00,7.83377588e-01,2.40946084e-01,3.34553940e+07
1.43803818e+02,1.31893503e-02,3.34838581e+00,5.26275992e-01,1.90332180e+07
1.45498871e+02,4.12759418e-03,3.07511258e+00,6.54998899e-01,2.90657600e+07
1.59438126e+02,3.13724780e+00,4.39833355e+00,6.63165331e-01,3.14900260e+07
1.40438370e+02,9.09420848e-01,2.09418631e+00,2.50926852e-01,3.48302160e+07
1.40456635e+02,1.14643769e-02,2.71464396e+00,5.11553288e-01,1.87377580e+07
1.40162628e+02,3.81695241e-01,5.24755764e+00,3.35086435e-01,7.19938160e+07
1.40015564e+02,1.33226776e+00,3.81790257e+00,1.52554259e-01,3.05886880e+07
1.40017685e+02,2.96165800e+00,5.69190645e+00,1.06268458e-01,1.40956740e+07
1.40206024e+02,7.51408279e-01,8.57641101e-02,2.48166427e-01,3.85672240e+07
1.40084793e+02,1.22688568e+00,3.82916808e+00,1.26320615e-01,3.27447960e+07
1.43957092e+02,3.13435173e+00,5.86357117e-02,5.60033500e-01,4.51002480e+07
1.61993637e+02,3.13690186e+00,1.21227551e+00,1.65122247e+00,3.29041200e+07
1.43633209e+02,7.56012416e-03,6.36414051e-01,5.11886120e-01,2.45751460e+07
1.55447128e+02,2.21989304e-03,1.85265827e+00,5.65936506e-01,2.38447240e+07
1.40138214e+02,3.13489985e+00,4.77627373e+00,3.83176684e-01,4.37089720e+07
1.42528061e+02,1.32779572e-02,2.83866301e-02,9.83546257e-01,7.38137040e+07
1.40344818e+02,3.13414025e+00,1.21125793e+00,8.12432349e-01,1.59148090e+07
1.42614456e+02,7.39325676e-03,3.32808733e+00,5.29504716e-01,3.87183200e+07
1.40336502e+02,5.02767980e-01,1.60849476e+00,2.35463262e-01,2.65932480e+07
1.43845078e+02,3.13570428e+00,6.16012621e+00,6.81411564e-01,2.89034440e+07
1.58342133e+02,3.13888001e+00,4.18161488e+00,7.36789525e-01,2.26823340e+07
1.47077148e+02,3.13765454e+00,3.26801682e+00,6.20578647e-01,1.86723080e+07
1.49652405e+02,3.13962317e+00,5.08728981e-01,7.91666925e-01,2.21965080e+07
1.40135590e+02,1.67056608e+00,6.11560631e+00,2.57745624e-01,4.91992840e+07
1.40512863e+02,2.97974944e+00,5.46293783e+00,3.11557144e-01,1.18991740e+07
1.41259033e+02,3.13504028e+00,1.18871439e+00,2.62931257e-01,1.69608860e+07
1.42932190e+02,3.13812637e+00,4.79097605e+00,7.05129743e-01,2.81255260e+07
1.40589264e+02,3.10070300e+00,3.66725016e+00,1.04306602e+00,4.55857000e+07
1.40002991e+02,6.39780760e-02,5.91539192e+00,3.36851239e-01,3.54734960e+07
1.51196823e+02,1.23303989e-03,1.19544792e+00,8.39225233e-01,2.34497800e+07
1.40145752e+02,2.86835814e+00,5.23379850e+00,1.45326525e-01,3.05490440e+07
1.52065659e+02,3.13420582e+00,7.83399582e-01,4.11148161e-01,1.43163340e+07
1.40109192e+02,2.02574539e+00,1.52778280e+00,3.87574643e-01,5.25480800e+07
1.40422012e+02,3.12436700e+00,2.51299810e+00,3.93087715e-01,1.65079730e+07
1.47723846e+02,9.49404377e-04,5.43131399e+00,4.80951697e-01,2.09701620e+07
1.47994324e+02,1.50433078e-03,5.21703911e+00,4.80604649e-01,1.84250940e+07
1.40000198e+02,2.25137067e+00,1.27807200e+00,2.48303592e-01,4.31464760e+07
1.43924789e+02,5.31463474e-02,3.00996304e+00,3.14250886e-01,1.20484000e+07
1.52426071e+02,3.13547993e+00,3.92948437e+00,7.71569312e-01,1.94057220e+07
1.43698486e+02,6.26900000e-03,5.55450010e+00,7.95541883e-01,4.48141400e+07
1.40107986e+02,8.07770252e-01,5.16881657e+00,5.12854338e-01,6.36356760e+07
1.42777512e+02,9.74714197e-03,1.12902260e+00,1.31235644e-01,1.75196420e+07
1.53570129e+02,4.47221752e-03,3.10224628e+00,6.66351199e-01,6.45946080e+07
1.46752090e+02,3.13435721e+00,3.08362126e+00,5.72599888e-01,4.25297480e+07
1.40224136e+02,3.23673785e-02,1.43275356e+00,6.14897788e-01,3.65547320e+07
1.44598923e+02,6.17287681e-03,2.76551771e+00,4.17988569e-01,1.99181020e+07
1.40551376e+02,5.21263890e-02,5.05694914e+00,3.11994135e-01,2.41416800e+07
1.59466965e+02,4.15558321e-03,2.04503059e-01,8.02494287e-01,2.81341280e+07
1.42530548e+02,1.01796575e-02,4.06582451e+00,5.27424991e-01,5.36360440e+07
1.40427032e+02,1.53638218e-02,6.06141138e+00,5.75559318e-01,2.43241920e+07
1.43729706e+02,5.07160928e-03,3.40817857e+00,3.77456993e-01,1.68213840e+07
1.44735504e+02,6.02331152e-03,3.85593891e+00,8.96080434e-01,3.06705920e+07
1.40368561e+02,8.43092240e-03,1.91957951e+00,1.25862110e+00,2.08882560e+07
1.40043396e+02,1.91827759e-01,6.98522568e-01,1.89892530e-01,1.84759580e+07
1.40051193e+02,1.57639599e+00,5.37725508e-01,2.04745814e-01,4.13019080e+07
1.40114761e+02,7.10358890e-03,4.45395976e-01,4.40963984e-01,5.14421640e+07
1.40185028e+02,1.62111914e+00,5.12157345e+00,1.52999386e-01,3.00583560e+07
1.40040009e+02,2.80218691e-01,1.94319916e+00,1.82793006e-01,2.05550240e+07
1.48636276e+02,7.84278009e-03,2.65581512e+00,3.73837888e-01,4.95717880e+07
1.52687408e+02,3.13636684e+00,6.19773149e+00,7.36688912e-01,4.62162640e+07
1.46148956e+02,2.06164108e-03,5.73206425e+00,3.02257299e-01,1.24287580e+07
1.40136002e+02,4.50111032e-02,4.34146976e+00,2.92764366e-01,1.12802050e+07
1.40273941e+02,2.41301680e+00,1.59150887e+00,2.12512717e-01,3.08811540e+07
1.43051758e+02,9.22971684e-03,4.58971739e+00,4.84782517e-01,3.02988380e+07
1.40030350e+02,3.09756398e+00,4.58099413e+00,4.86884452e-02,1.11997950e+07
1.40347687e+02,3.13171983e+00,1.78087223e+00,2.70144761e-01,2.63561320e+07
1.44574936e+02,2.38021906e-03,6.22657347e+00,5.24084926e-01,1.08280390e+07
1.48220734e+02,4.57505556e-03,1.73272419e+00,7.32109070e-01,4.35567520e+07
1.42749496e+02,3.13109708e+00,5.02014446e+00,3.96464050e-01,3.53833640e+07
1.49067612e+02,3.13963890e+00,3.27685738e+00,4.50465381e-01,4.72036240e+07
1.61179306e+02,7.19410973e-03,1.11343098e+00,7.41441250e-01,1.85021380e+07
1.40260498e+02,1.06277382e+00,5.66037989e+00,3.03267658e-01,3.88230400e+07
1.40052979e+02,3.12050962e+00,3.16538525e+00,1.77949727e-01,2.06085060e+07
1.40034760e+02,3.10128260e+00,5.46323919e+00,2.29275167e-01,2.56402980e+07
1.45064743e+02,6.21469412e-03,1.73321438e+00,7.03364611e-01,4.50841680e+07
1.41030472e+02,1.62205584e-02,5.96963406e-01,3.42819631e-01,2.30469840e+07
1.40038193e+02,1.32742846e+00,4.40648031e+00,1.60107598e-01,3.51885080e+07
1.54180313e+02,3.97999771e-04,1.91672611e+00,7.36313581e-01,7.23917520e+07
1.40014877e+02,2.16648149e+00,4.05161715e+00,1.52813077e-01,2.59944740e+07
1.47496475e+02,3.13921237e+00,5.83403683e+00,5.59018552e-01,2.36124700e+07
1.41743484e+02,3.13581085e+00,1.80466926e+00,4.07306641e-01,1.39688890e+07
1.41117233e+02,4.00672108e-02,4.53114748e+00,2.49401495e-01,2.19421880e+07
1.40557541e+02,8.47370699e-02,3.10758519e+00,2.91864187e-01,1.63217210e+07
1.41380081e+02,3.13280416e+00,2.64585900e+00,3.38848233e-01,5.12353400e+07
1.40074203e+02,3.12418842e+00,3.96191359e+00,6.76573098e-01,1.58343990e+07
1.40119751e+02,2.85389833e-02,4.97618818e+00,7.54366100e-01,9.45430080e+07
1.40001587e+02,8.14879954e-01,1.98878944e-01,2.26644054e-01,3.01615800e+07
1.63772888e+02,2.98627187e-03,6.14325190e+00,8.74715209e-01,4.02909880e+07
1.47723511e+02,3.78151797e-03,1.88616943e+00,4.50247854e-01,3.52906120e+07
1.41759827e+02,5.31846099e-03,4.61172009e+00,3.66258413e-01,1.69376980e+07
1.46682846e+02,4.80583915e-03,3.22450829e+00,6.94934070e-01,2.93522440e+07
1.41740753e+02,3.12729526e+00,1.58286512e+00,3.43121797e-01,1.91214820e+07
1.52641663e+02,9.17922240e-03,2.84247589e+00,7.58175969e-01,5.20588880e+07
1.41626160e+02,1.10883890e-02,2.25530791e+00,3.09783757e-01,2.96364840e+07
1.46988922e+02,3.13825035e+00,6.07942629e+00,5.58971345e-01,5.28779480e+07
1.44808228e+02,3.14020371e+00,3.15784454e+00,6.44694507e-01,2.50306780e+07
1.40354538e+02,2.94832897e+00,6.15159655e+00,3.41706574e-01,3.72881440e+07
1.40352020e+02,2.73559093e+00,5.23645782e+00,2.35368133e-01,7.18995680e+07
1.40043320e+02,2.25245190e+00,4.10175991e+00,3.74238282e-01,4.60060760e+07
1.52813248e+02,3.88367148e-03,2.43625164e+00,7.50792384e-01,5.27997800e+07
1.41292175e+02,3.13260746e+00,3.65916777e+00,3.36907834e-01,2.14485080e+07
1.64332123e+02,4.21397155e-03,7.16858864e-01,1.02667892e+00,1.96031940e+07
1.40102554e+02,2.37914705e+00,1.52831745e+00,2.85614848e-01,5.02640640e+07
1.54500793e+02,6.94188755e-04,4.42685223e+00,1.15847695e+00,2.48208640e+07
