# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,0.09,0.0
1.45477325e+02,7.41554936e-03,4.02738571e-01,5.91651618e-01,2.41420540e+07
1.40295700e+02,3.13865995e+00,2.84494281e+00,2.37201497e-01,3.46361125e+06
1.54933929e+02,3.14154840e+00,5.09423304e+00,4.51569289e-01,1.49745740e+07
1.40363037e+02,3.48743889e-03,3.91785049e+00,5.29974878e-01,7.66100950e+06
1.73567932e+02,3.14049196e+00,3.98497295e+00,9.65316594e-01,2.39277520e+07
1.49852203e+02,3.13851070e+00,4.90355587e+00,5.92729509e-01,1.66998340e+07
1.40664291e+02,7.03005772e-03,5.15537071e+00,2.62139380e-01,8.02229350e+06
1.40339493e+02,8.47703636e-01,4.69925404e+00,6.79522812e-01,2.11702520e+07
1.40277283e+02,3.13921118e+00,1.68227863e+00,9.08202589e-01,2.67245220e+07
1.41034592e+02,3.12480998e+00,5.12406778e+00,7.10982263e-01,8.37235700e+06
1.40127594e+02,2.21911693e+00,4.43996477e+00,4.55351144e-01,3.27062740e+07
1.43223267e+02,3.14141846e+00,2.28495336e+00,3.96343857e-01,1.93974940e+07
1.40548126e+02,9.29249264e-03,5.23198509e+00,5.84962726e-01,1.76183780e+07
1.41070694e+02,8.77762493e-03,5.01824570e+00,4.99929428e-01,8.51485100e+06
1.40136368e+02,1.27499163e-01,4.33517694e+00,1.77746028e-01,9.00292100e+06
1.49708099e+02,3.14141893e+00,5.04304123e+00,4.36268449e-01,2.40350900e+07
1.40132248e+02,2.90480304e+00,5.25153685e+00,4.86514062e-01,2.60924620e+07
1.40665787e+02,3.13686609e+00,3.59266829e+00,4.53279078e-01,2.93915140e+07
1.40974731e+02,3.13791895e+00,1.35622311e+00,5.89181483e-01,1.02932200e+07
1.40201721e+02,3.12508345e+00,2.11685371e+00,7.65654862e-01,1.74717700e+07
1.40255707e+02,1.34510668e-02,2.41852283e+00,4.26443636e-01,7.36929000e+06
1.41360962e+02,3.12723804e+00,1.33661062e-01,3.01400810e-01,8.63752300e+06
1.43280792e+02,3.13564515e+00,5.25842047e+00,8.38695526e-01,3.41147560e+07
1.42362732e+02,3.13888764e+00,1.19064093e+00,3.43666971e-01,8.31027300e+06
1.42646942e+02,3.13137221e+00,5.02420378e+00,3.09763581e-01,6.00045100e+06
1.40950851e+02,5.31521346e-03,2.55325532e+00,3.15034866e-01,1.89015700e+07
1.41044479e+02,3.13700581e+00,1.01361883e+00,3.52817297e-01,1.52434800e+07
1.42561386e+02,3.13713598e+00,2.10276127e-01,6.03307188e-01,2.13108760e+07
1.48083267e+02,3.13770247e+00,1.01780605e+00,5.34734428e-01,1.56919050e+07
1.41753799e+02,3.12955904e+00,4.46548939e+00,4.53617305e-01,1.68008140e+07
1.43260834e+02,3.13673902e+00,2.26270771e+00,6.16307557e-01,2.28596100e+07
1.41170319e+02,3.13705063e+00,5.96322584e+00,5.04176676e-01,1.05067730e+07
1.40141144e+02,4.06458318e-01,6.21984148e+00,2.46490866e-01,1.43324160e+07
1.43538773e+02,3.13318515e+00,2.99304295e+00,5.41021168e-01,1.56253330e+07
1.58748383e+02,3.13910699e+00,5.62446833e+00,9.79298115e-01,3.39494480e+07
1.52365097e+02,3.13927865e+00,5.85938597e+00,8.49334896e-01,2.88099440e+07
1.45360504e+02,4.91847424e-03,3.52744007e+00,9.30935919e-01,4.23752880e+07
1.57194305e+02,3.13811469e+00,1.64509106e+00,1.03631973e+00,1.07880210e+07
1.40461914e+02,2.87377834e-03,4.28208256e+00,5.31790555e-01,2.78678400e+07
1.42432343e+02,1.67516861e-02,2.26554465e+00,2.93559551e-01,1.14462610e+07
1.56024109e+02,4.41269437e-03,2.19888592e+00,5.85781038e-01,5.98810900e+06
1.42148178e+02,3.13677931e+00,1.86403561e+00,7.45942056e-01,4.59671800e+07
1.44322006e+02,4.54288069e-03,3.29262066e+00,8.62496912e-01,3.10348680e+07
1.52624847e+02,6.95275189e-03,5.78682089e+00,6.28739715e-01,6.33817300e+06
1.47758759e+02,3.13601208e+00,3.01499081e+00,5.68201423e-01,1.59379970e+07
1.40870697e+02,3.13271618e+00,4.93963861e+00,5.42553008e-01,1.73857500e+07
1.40232376e+02,1.18440511e-02,3.33984709e+00,8.63544524e-01,3.15999820e+07
1.44756851e+02,3.13640308e+00,8.99108410e-01,9.40482497e-01,1.34108810e+07
1.40235672e+02,2.09931117e-02,6.12677240e+00,2.11110786e-01,1.22555960e+07
1.42030334e+02,2.52775452e-03,6.22176027e+00,3.36088061e-01,6.27608900e+06
1.40039505e+02,2.02978905e-02,4.47982597e+00,2.91175276e-01,6.09656900e+06
1.50230576e+02,1.41753594e-03,4.17099285e+00,6.88178778e-01,2.83585260e+07
1.45970047e+02,7.42365979e-03,4.00535583e+00,4.79921609e-01,7.61538200e+06
1.41467880e+02,4.27776109e-03,6.25706387e+00,5.07779777e-01,1.20944020e+07
1.46732407e+02,3.13720489e+00,3.16273117e+00,5.12344897e-01,4.22062400e+07
1.40822037e+02,8.67044367e-03,2.85205221e+00,4.02781278e-01,9.42030400e+06
1.41803101e+02,3.13431549e+00,1.37325883e+00,3.82053018e-01,1.16141870e+07
1.41643188e+02,1.11463815e-02,4.93364954e+00,4.15105015e-01,1.50916360e+07
1.48803116e+02,3.11130953e+00,4.34452724e+00,3.21492195e-01,1.19530300e+07
1.44036499e+02,9.23941284e-03,3.45612860e+00,6.83076262e-01,4.43466400e+07
1.40216721e+02,8.20325594e-03,2.71637464e+00,3.29317689e-01,1.07240670e+07
1.40024689e+02,2.90149951e+00,5.88645649e+00,2.38731310e-01,2.28278200e+07
1.43148392e+02,3.12834001e+00,3.87791544e-01,7.72762954e-01,8.17750350e+06
1.40184540e+02,9.75408852e-01,2.82108665e+00,6.73273146e-01,5.01548560e+07
1.41854034e+02,3.13478994e+00,1.96586800e+00,8.28393877e-01,6.08205800e+07
1.45303085e+02,3.12965918e+00,4.33701515e+00,6.63392901e-01,8.77291100e+06
1.46208984e+02,3.13932347e+00,5.36336517e+00,9.90856826e-01,1.05546450e+07
1.40260254e+02,3.13543439e+00,3.57251930e+00,2.61690468e-01,6.41259900e+06
1.42553787e+02,2.18796637e-03,4.80321598e+00,4.58473325e-01,1.52992060e+07
1.40355637e+02,3.46624888e-02,4.39729595e+00,2.70612240e-01,1.61594050e+07
1.42417892e+02,3.13715816e+00,3.38649178e+00,3.11677635e-01,1.52606840e+07
1.40186951e+02,3.12661481e+00,3.13053966e-01,3.33118856e-01,1.17372320e+07
1.40163284e+02,4.01154533e-02,4.90008450e+00,4.59264666e-01,1.15906250e+07
1.42220520e+02,3.13896656e+00,3.95123482e+00,3.61692846e-01,8.11878550e+06
1.43293991e+02,3.13313961e+00,2.30250645e+00,7.68227577e-01,1.87889960e+07
1.42773651e+02,3.12668204e+00,1.55380629e-02,7.58412480e-01,1.19657460e+07
1.43427917e+02,3.14059949e+00,5.09514236e+00,3.80076468e-01,1.02337540e+07
1.50447052e+02,3.13952923e+00,3.43770027e-01,9.40526485e-01,2.31917220e+07
1.53144531e+02,3.13903022e+00,1.64135075e+00,4.78173852e-01,1.35630990e+07
1.48567413e+02,1.02951820e-03,5.65877581e+00,9.79908109e-01,1.54555370e+07
1.42889389e+02,3.14099622e+00,4.45300722e+00,4.81289268e-01,8.22350550e+06
1.40162689e+02,2.48513103e+00,4.74912643e-01,4.62965101e-01,1.75073000e+07
1.40773682e+02,2.83245612e-02,5.64302874e+00,3.07264537e-01,1.38413550e+07
1.40379379e+02,3.12498355e+00,3.95381497e-03,2.25017458e-01,8.48792300e+06
1.40016846e+02,4.43244502e-02,3.58795691e+00,2.26785809e-01,9.47004600e+06
1.49462402e+02,1.83429127e-03,2.72805119e+00,1.08949447e+00,2.80252940e+07
1.46931458e+02,3.13516068e+00,2.09027767e-01,3.05141300e-01,6.38828900e+06
1.44351181e+02,3.13218141e+00,4.67551279e+00,7.81240404e-01,1.21994960e+07
1.40063354e+02,3.12740898e+00,3.27910447e+00,4.61906552e-01,1.33274790e+07
1.40119278e+02,2.41650677e+00,5.91942215e+00,9.49252427e-01,4.50654680e+07
1.42083618e+02,3.13504696e+00,4.74872589e-02,3.74509424e-01,1.67435920e+07
1.40145157e+02,3.13289523e+00,5.83376074e+00,5.36123335e-01,1.33529110e+07
1.46175888e+02,4.17207507e-03,2.39488506e+00,5.99012494e-01,2.01410060e+07
1.40467621e+02,3.06273150e+00,2.99840641e+00,3.25453162e-01,2.37889980e+07
1.41280960e+02,1.00776246e-02,4.78040218e+00,4.40437943e-01,2.07697000e+07
1.40382828e+02,4.14574668e-02,9.28501189e-01,4.77015495e-01,1.07438890e+07
1.50361053e+02,7.34438701e-03,4.98106861e+00,4.25491244e-01,7.19612800e+06
1.44164566e+02,4.09789523e-03,5.50117064e+00,3.20982307e-01,1.08340230e+07
